Type,Localisation,Title,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Current_state,Age
Appartements,Casablanca Finance City ,Somptueux appartement à louer au tour végétal,22000.0,Casablanca,219.0,4.0,3.0,3.0,11.0,"['Nouveau', ""Moins d'un an""]",Nouveau,Moins d'un an
Appartements,Anfa ,A vendre appartement 86m face ELBILIA lahjajma,1230000.0,Casablanca,86.0,3.0,2.0,2.0,1.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,La Gironde ,A vendre bel appartement 2 chambres Gironde,900000.0,Casablanca,86.0,3.0,2.0,1.0,5.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,Bourgogne Ouest ,A vendre appartement 180m clinique Badr pas cher,2400000.0,Casablanca,180.0,5.0,3.0,3.0,3.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,Les princesses ,Appartement 3 chambres yaacoub almansour pas cher,1550000.0,Casablanca,120.0,5.0,3.0,2.0,5.0,"['Bon état', '5-10 ans']",Bon état,5-10 ans
Appartements,Bourgogne Ouest ,A vendre bel appartement de 3 chambres BOURGOGNE,1450000.0,Casablanca,113.0,4.0,3.0,2.0,1.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,Triangle d'Or ,Appartement luxe à vendre Triangle d'or,4800000.0,Casablanca,245.0,4.0,3.0,3.0,3.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,Maârif Extension ,Joli appartement romandie 2 a vendre,1700000.0,Casablanca,110.0,3.0,2.0,2.0,,"['Bon état', '20-30 ans']",Bon état,Non Specifique
Appartements,Anassi ,Superbe appartement à vendre à Anassi alliance,330000.0,Casablanca,50.0,3.0,2.0,1.0,1.0,"['Bon état', '5-10 ans']",Bon état,5-10 ans
Villas,Californie ,Vente villa 400m² avec jardin Californie,7500000.0,Casablanca,400.0,8.0,5.0,4.0,,['Bon état'],Bon état,Non Specifique
Appartements,Triangle d'Or ,Vente magnifique appartement 144m² Triangle d'or,3600000.0,Casablanca,144.0,5.0,3.0,3.0,,['Bon état'],Bon état,Non Specifique
Appartements,Maârif ,Très bel appartement en vente,1750000.0,Casablanca,113.0,3.0,2.0,2.0,4.0,"['Nouveau', '1-5 ans']",Nouveau,1-5 ans
Appartements,Bourgogne Ouest ,Appartement neuf de très haut standing,2590000.0,Casablanca,100.0,3.0,2.0,3.0,6.0,"['Nouveau', ""Moins d'un an""]",Nouveau,Moins d'un an
Appartements,Triangle d'Or ,Penthouse neuf de très haut standing 10 ème étage,3300000.0,Casablanca,121.0,3.0,1.0,2.0,10.0,"['Nouveau', ""Moins d'un an""]",Nouveau,Moins d'un an
Appartements,Racine ,Studio meublé Racine très haut standing,1300000.0,Casablanca,48.0,2.0,1.0,1.0,2.0,"['Nouveau', '1-5 ans']",Nouveau,1-5 ans
Appartements,Gauthier ,"Appartement a vendre sur Gauthier, ensoleillé et terrasse",2900000.0,Casablanca,230.0,4.0,3.0,3.0,7.0,"['Bon état', '10-20 ans']",Bon état,10-20 ans
Appartements,La Gironde ,Ente appartement meublé à la Gironde,1290000.0,Casablanca,105.0,7.0,2.0,2.0,1.0,"['Bon état', '5-10 ans']",Bon état,5-10 ans
Appartements,Val Fleury ,Un magnifique appartement neuf à vendre,2219000.0,Casablanca,124.0,8.0,3.0,3.0,3.0,"['Nouveau', ""Moins d'un an""]",Nouveau,Moins d'un an
Appartements,Anfa ,Appartement à vendre à Anfa. 6 grandes pièces. Ascenseur et garage,2408000.0,Casablanca,165.0,6.0,4.0,2.0,9.0,['Bon état'],Bon état,Non Specifique
Appartements,Val Fleury ,Vente d'un bel appartement de haut standing,2500000.0,Casablanca,137.0,4.0,3.0,3.0,2.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Gauthier ,Très bel appartement à vendre à Gauthier,1870000.0,Casablanca,107.0,4.0,3.0,2.0,6.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Maârif ,2 studios à vendre à Maarif,860000.0,Casablanca,51.0,2.0,1.0,1.0,2.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Gauthier ,Appartement neuf ths gauthier au 3ème étage,2300000.0,Casablanca,88.0,3.0,2.0,2.0,3.0,['Nouveau'],Nouveau,Non Specifique
Villas,Anfa ,TerrainANFA Sur Bv. Driss SLAOUI,11900000.0,Casablanca,625.0,6.0,5.0,6.0,,['À rénover'],À rénover,Non Specifique
Villas,Anfa ,VillaANFA ANGLE Sur Bv. DrissSLAOUI,27000000.0,Casablanca,1000.0,6.0,6.0,7.0,,['À rénover'],À rénover,Non Specifique
Appartements,Maârif Extension ,Appartement 87m Haut Standing A Maarif Extension,1200000.0,Casablanca,87.0,3.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Les princesses ,Appartement 89m A Les Princesses,930000.0,Casablanca,89.0,3.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Val Fleury ,Appartement 82 m2 Haut Standing A Val Fleuri,1290000.0,Casablanca,81.0,4.0,2.0,1.0,,['Bon état'],Bon état,Non Specifique
Appartements,Beauséjour ,Appartements Neuf 75m 88m 110m Beauséjour,1125000.0,Casablanca,75.0,3.0,2.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Riviera ,Appartements Neuf 80m 130m Luxe A Riviera,1600000.0,Casablanca,80.0,4.0,3.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Villas,Sidi Maarouf ,Villa 400m A Florida Proche Carrefour,5500000.0,Casablanca,400.0,7.0,5.0,4.0,,['Bon état'],Bon état,Non Specifique
Appartements,Val Fleury ,Appartement 225m Sans Vis A Vis 4 Ch A Val Fleuri,3000000.0,Casablanca,225.0,6.0,4.0,4.0,,['Bon état'],Bon état,Non Specifique
Appartements,Val Fleury ,Appartement 160m Haut Standing A Val Fleuri,2200000.0,Casablanca,160.0,4.0,3.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Ain Diab ,Plusieurs appartements de luxe à vendre,4500000.0,Casablanca,238.0,4.0,3.0,4.0,3.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Racine Extension ,Vente d'un joli appartement à Racine extension,3400000.0,Casablanca,198.0,4.0,3.0,3.0,4.0,['Bon état'],Bon état,Non Specifique
Appartements,Racine ,Appartement lumineux neuf de très haut standing,2800000.0,Casablanca,107.0,4.0,3.0,4.0,5.0,['Nouveau'],Nouveau,Non Specifique
Villas,Californie ,"Propriété d'exception sur 4037m², Californie Casa",45000000.0,Casablanca,4037.0,12.0,6.0,7.0,,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,"Appartement a vendre Gauthier, luxe, terasse",4200000.0,Casablanca,244.0,4.0,3.0,4.0,6.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Gauthier ,"Duplex 6 ème étage, terrasse ensoleillé 446m",4900000.0,Casablanca,446.0,6.0,5.0,4.0,6.0,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,Appartement a vendre sur Gauthier,3400000.0,Casablanca,229.0,4.0,3.0,3.0,1.0,['Bon état'],Bon état,Non Specifique
Appartements,Gauthier ,Appartement a vendre Gauthier,4200000.0,Casablanca,200.0,4.0,3.0,3.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Ain Diab ,Rez de Jardin refait à neuf,2256000.0,Casablanca,94.0,3.0,2.0,2.0,,['Bon état'],Bon état,Non Specifique
Appartements,Casablanca Finance City ,FAUBOURGS D'ANFA Belle terrasse sans vis à vis,2090000.0,Casablanca,99.0,3.0,2.0,2.0,3.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Racine ,"Très bel appartement à vendre, 183 m2, Racine",3500000.0,Casablanca,183.0,5.0,3.0,2.0,4.0,['Bon état'],Bon état,Non Specifique
Appartements,Palmier ,Appt a vendre a palmier sup 258 m 4 ch,3800000.0,Casablanca,258.0,7.0,4.0,3.0,4.0,['Bon état'],Bon état,Non Specifique
Appartements,Californie ,Appartement Rez de jardin de 145m² en vente UTOPIA,1558920.0,Casablanca,145.0,3.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,El Manar - El Hank ,"Appartement de 97m² en vente, Les terrasses d'anfa",1995968.0,Casablanca,97.0,4.0,3.0,2.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement au RDC de 96m² en vente Résidence Les Palmiers,1540000.0,Casablanca,96.0,3.0,2.0,1.0,,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,Casablanca,59.0,3.0,2.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,Casablanca,59.0,2.0,1.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
Appartements,Oasis ,Appartement de 56m² en vente Résidence Les Palmiers,1176000.0,Casablanca,56.0,2.0,1.0,1.0,1.0,['Nouveau'],Nouveau,Non Specifique
