Type,Localisation,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Current_state,Age
Appartements,Casablanca Finance City ,22000.0,Casablanca,219.0,4.0,3.0,3.0,11.0,Nouveau,Moins d'un an
Appartements,Anfa ,1230000.0,Casablanca,86.0,3.0,2.0,2.0,1.0,Bon état,10-20 ans
Appartements,La Gironde ,900000.0,Casablanca,86.0,3.0,2.0,1.0,5.0,Bon état,10-20 ans
Appartements,Bourgogne Ouest ,2400000.0,Casablanca,180.0,5.0,3.0,3.0,3.0,Bon état,10-20 ans
Appartements,Les princesses ,1550000.0,Casablanca,120.0,5.0,3.0,2.0,5.0,Bon état,5-10 ans
Appartements,Bourgogne Ouest ,1450000.0,Casablanca,113.0,4.0,3.0,2.0,1.0,Bon état,10-20 ans
Appartements,Triangle d'Or ,4800000.0,Casablanca,245.0,4.0,3.0,3.0,3.0,Bon état,10-20 ans
Appartements,Maârif Extension ,1700000.0,Casablanca,110.0,3.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Anassi ,330000.0,Casablanca,50.0,3.0,2.0,1.0,1.0,Bon état,5-10 ans
Villas,Californie ,7500000.0,Casablanca,400.0,8.0,5.0,4.0,0.0,Bon état,Non Specifique
Appartements,Triangle d'Or ,3600000.0,Casablanca,144.0,5.0,3.0,3.0,0.0,Bon état,Non Specifique
Appartements,Maârif ,1750000.0,Casablanca,113.0,3.0,2.0,2.0,4.0,Nouveau,1-5 ans
Appartements,Bourgogne Ouest ,2590000.0,Casablanca,100.0,3.0,2.0,3.0,6.0,Nouveau,Moins d'un an
Appartements,Triangle d'Or ,3300000.0,Casablanca,121.0,3.0,1.0,2.0,10.0,Nouveau,Moins d'un an
Appartements,Racine ,1300000.0,Casablanca,48.0,2.0,1.0,1.0,2.0,Nouveau,1-5 ans
Appartements,Gauthier ,2900000.0,Casablanca,230.0,4.0,3.0,3.0,7.0,Bon état,10-20 ans
Appartements,La Gironde ,1290000.0,Casablanca,105.0,7.0,2.0,2.0,1.0,Bon état,5-10 ans
Appartements,Val Fleury ,2219000.0,Casablanca,124.0,8.0,3.0,3.0,3.0,Nouveau,Moins d'un an
Appartements,Anfa ,2408000.0,Casablanca,165.0,6.0,4.0,2.0,9.0,Bon état,Non Specifique
Appartements,Val Fleury ,2500000.0,Casablanca,137.0,4.0,3.0,3.0,2.0,Nouveau,Non Specifique
Appartements,Gauthier ,1870000.0,Casablanca,107.0,4.0,3.0,2.0,6.0,Nouveau,Non Specifique
Appartements,Maârif ,860000.0,Casablanca,51.0,2.0,1.0,1.0,2.0,Nouveau,Non Specifique
Appartements,Gauthier ,2300000.0,Casablanca,88.0,3.0,2.0,2.0,3.0,Nouveau,Non Specifique
Villas,Anfa ,11900000.0,Casablanca,625.0,6.0,5.0,6.0,0.0,À rénover,Non Specifique
Villas,Anfa ,27000000.0,Casablanca,1000.0,6.0,6.0,7.0,0.0,À rénover,Non Specifique
Appartements,Maârif Extension ,1200000.0,Casablanca,87.0,3.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Les princesses ,930000.0,Casablanca,89.0,3.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Val Fleury ,1290000.0,Casablanca,81.0,4.0,2.0,1.0,0.0,Bon état,Non Specifique
Appartements,Beauséjour ,1125000.0,Casablanca,75.0,3.0,2.0,2.0,0.0,Nouveau,Non Specifique
Appartements,Riviera ,1600000.0,Casablanca,80.0,4.0,3.0,2.0,0.0,Nouveau,Non Specifique
Villas,Sidi Maarouf ,5500000.0,Casablanca,400.0,7.0,5.0,4.0,0.0,Bon état,Non Specifique
Appartements,Val Fleury ,3000000.0,Casablanca,225.0,6.0,4.0,4.0,0.0,Bon état,Non Specifique
Appartements,Val Fleury ,2200000.0,Casablanca,160.0,4.0,3.0,2.0,0.0,Bon état,Non Specifique
Appartements,Ain Diab ,4500000.0,Casablanca,238.0,4.0,3.0,4.0,3.0,Nouveau,Non Specifique
Appartements,Racine Extension ,3400000.0,Casablanca,198.0,4.0,3.0,3.0,4.0,Bon état,Non Specifique
Appartements,Racine ,2800000.0,Casablanca,107.0,4.0,3.0,4.0,5.0,Nouveau,Non Specifique
Villas,Californie ,45000000.0,Casablanca,4037.0,12.0,6.0,7.0,0.0,Bon état,Non Specifique
Appartements,Gauthier ,4200000.0,Casablanca,244.0,4.0,3.0,4.0,6.0,Nouveau,Non Specifique
Appartements,Gauthier ,4900000.0,Casablanca,446.0,6.0,5.0,4.0,6.0,Bon état,Non Specifique
Appartements,Gauthier ,3400000.0,Casablanca,229.0,4.0,3.0,3.0,1.0,Bon état,Non Specifique
Appartements,Gauthier ,4200000.0,Casablanca,200.0,4.0,3.0,3.0,1.0,Nouveau,Non Specifique
Appartements,Ain Diab ,2256000.0,Casablanca,94.0,3.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Casablanca Finance City ,2090000.0,Casablanca,99.0,3.0,2.0,2.0,3.0,Nouveau,Non Specifique
Appartements,Racine ,3500000.0,Casablanca,183.0,5.0,3.0,2.0,4.0,Bon état,Non Specifique
Appartements,Palmier ,3800000.0,Casablanca,258.0,7.0,4.0,3.0,4.0,Bon état,Non Specifique
Appartements,Californie ,1558920.0,Casablanca,145.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,El Manar - El Hank ,1995968.0,Casablanca,97.0,4.0,3.0,2.0,0.0,Nouveau,Non Specifique
Appartements,Oasis ,1540000.0,Casablanca,96.0,3.0,2.0,1.0,0.0,Nouveau,Non Specifique
Appartements,Oasis ,1239000.0,Casablanca,59.0,3.0,2.0,1.0,1.0,Nouveau,Non Specifique
Appartements,Oasis ,1239000.0,Casablanca,59.0,2.0,1.0,1.0,1.0,Nouveau,Non Specifique
Appartements,Oasis ,1176000.0,Casablanca,56.0,2.0,1.0,1.0,1.0,Nouveau,Non Specifique
Appartements,La Gironde ,1035000.0,Casablanca,90.0,4.0,3.0,2.0,5.0,Nouveau,Non Specifique
Appartements,Hay Lmkansa ,1995968.0,Casablanca,82.0,3.0,2.0,2.0,3.0,Nouveau,Non Specifique
Villas,CIL (Hay Salam) ,10400000.0,Casablanca,400.0,3.0,5.0,3.0,0.0,À rénover,Non Specifique
Villas,Racine Extension ,3400000.0,Casablanca,122.0,5.0,3.0,2.0,0.0,Bon état,Non Specifique
Villas,Les Crêtes ,9000000.0,Casablanca,800.0,5.0,4.0,3.0,0.0,Bon état,Non Specifique
Villas,Sidi Maarouf ,3900000.0,Casablanca,330.0,6.0,5.0,4.0,0.0,Bon état,Non Specifique
Appartements,Val Fleury ,1030000.0,Casablanca,77.0,3.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Les princesses ,2200000.0,Casablanca,150.0,4.0,3.0,3.0,0.0,Bon état,Non Specifique
Appartements,Maârif Extension ,1650000.0,Casablanca,113.0,4.0,3.0,2.0,0.0,Nouveau,Non Specifique
Appartements,Les princesses ,1810000.0,Casablanca,121.0,4.0,2.0,2.0,0.0,Bon état,Non Specifique
Appartements,Les princesses ,1950000.0,Casablanca,131.0,4.0,3.0,2.0,0.0,Bon état,Non Specifique
Appartements,Les princesses ,2500000.0,Casablanca,130.0,4.0,3.0,2.0,0.0,Nouveau,Non Specifique
Appartements,Les Hôpitaux ,1700000.0,Casablanca,155.0,4.0,3.0,2.0,0.0,Bon état,Non Specifique
Appartements,Maârif ,920000.0,Casablanca,59.0,2.0,1.0,2.0,0.0,Nouveau,Non Specifique
Appartements,Val Fleury ,1550000.0,Casablanca,121.0,3.0,2.0,1.0,0.0,Bon état,Non Specifique
Appartements,Ain Diab ,5100000.0,Casablanca,230.0,8.0,3.0,2.0,0.0,Bon état,Non Specifique
Appartements,Les princesses ,1570000.0,Casablanca,105.0,3.0,2.0,2.0,1.0,Bon état,Non Specifique
Villas,Californie ,16000000.0,Casablanca,1076.0,6.0,5.0,6.0,0.0,Bon état,Non Specifique
Appartements,Maârif ,1000000.0,Casablanca,66.0,3.0,2.0,1.0,2.0,Nouveau,Non Specifique
Appartements,Californie ,2331280.0,Casablanca,181.0,4.0,3.0,3.0,0.0,Nouveau,Non Specifique
Appartements,Californie ,1688960.0,Casablanca,104.0,3.0,2.0,2.0,1.0,Nouveau,Non Specifique
Appartements,Californie ,1771840.0,Casablanca,113.0,4.0,3.0,2.0,3.0,Nouveau,Non Specifique
Appartements,Californie ,1624000.0,Casablanca,100.0,4.0,3.0,2.0,4.0,Non Specifique,Non Specifique
Appartements,Les princesses ,1760000.0,Casablanca,125.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,2090000.0,Casablanca,99.0,3.0,2.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,1200000.0,Casablanca,51.0,2.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Maârif ,850000.0,Casablanca,40.0,2.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2324380.0,Casablanca,125.0,4.0,3.0,0.0,1.0,Non Specifique,Non Specifique
Appartements,Maârif ,2020750.0,Casablanca,100.0,4.0,2.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,1642500.0,Casablanca,91.0,4.0,3.0,2.0,4.0,Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,1789000.0,Casablanca,96.0,3.0,2.0,2.0,1.0,Non Specifique,Non Specifique
Appartements,Anfa ,1050000.0,Casablanca,63.0,3.0,2.0,2.0,1.0,Non Specifique,Non Specifique
Appartements,Racine ,1950000.0,Casablanca,99.0,4.0,2.0,2.0,4.0,Non Specifique,Non Specifique
Appartements,Bourgogne Est ,2300000.0,Casablanca,160.0,3.0,2.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Maârif ,3500000.0,Casablanca,243.0,4.0,3.0,3.0,5.0,Non Specifique,Non Specifique
Villas,Ain Diab ,27000000.0,Casablanca,1180.0,7.0,4.0,6.0,0.0,Non Specifique,Non Specifique
Appartements,Maârif Extension ,1200000.0,Casablanca,95.0,3.0,2.0,2.0,7.0,Non Specifique,Non Specifique
Riad,Ain Diab Extension ,7300000.0,Casablanca,395.0,7.0,4.0,3.0,0.0,Non Specifique,Non Specifique
